id,lclas,mlsfc,id_poi,poi_nm,branch_nm,sub_nm,mcate_cd,mcate_nm,pnu,sido_nm,sgg_nm,bemd_nm,ri_nm,beonji,badm_cd,hadm_cd,rd_cd,rd_nm,bld_num,x,y,grid_cd,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KCDMTPO21N000000438,장소,문화시설,19404037,피에스레이싱,,,92005,비디오/DVD감상실,1174010800104460024,서울특별시,강동구,성내동,,446-24,1174010800,1174066000,117403124007,성안로,10,127.129457109492,37.5247034342355,다사672473,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000439,장소,문화시설,19937842,롯데시네마,프리미엄구미센트럴점,,100209,롯데시네마,4719010100101470009,경상북도,구미시,원평동,,147-9,4719010100,4719053500,471904724066,구미중앙로17길,16,128.334750847919,36.1289669561563,라마751927,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000440,장소,문화시설,21028242,CGV,오산점,,100208,CGV,4137010300107630021,경기도,오산시,원동,,763-21,4137010300,4137057000,413704394131,원동로37번길,46,127.070419242162,37.1460586400883,다사618053,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000441,장소,문화시설,21787112,티투엔미디어,,,100202,일반극장/영화관,1168010100106820020,서울특별시,강남구,역삼동,,682-20,1168010100,1168064000,116803122006,선릉로,577,127.043661005038,37.5099240601937,다사596457,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000442,장소,문화시설,21831921,해피조이,,,100202,일반극장/영화관,4165034029103890000,경기도,포천시,신북면,삼정리,389,4165034029,4165034000,416504439696,청신로947번길,51,127.133261768305,37.9672612225078,다사677964,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000443,장소,문화시설,22091960,CGV,성남모란,,100208,CGV,4113310100134990000,경기도,성남시 중원구,성남동,,3499,4113310100,4113351000,411332000005,성남대로,1136,127.129762148316,37.431390929966,다사672369,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000444,장소,문화시설,7233074,메가박스,창원점,,100212,메가박스,4812312500100990001,경상남도,창원시 성산구,중앙동,,99-1,4812312500,4812352000,481233327038,용지로,58,128.67573746138,35.2213229299377,마라070924,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000445,장소,문화시설,7233241,메가박스,강남점,,100212,메가박스,1165010800113170020,서울특별시,서초구,서초동,,1317-20,1165010800,1165053100,116504163435,서초대로77길,3,127.026483700045,37.4980567710379,다사581444,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000446,장소,문화시설,14106181,서귀포관광극장,,,100202,일반극장/영화관,5013010100105190000,제주특별자치도,서귀포시,서귀동,,519,5013010100,5013052000,501303350238,이중섭로,25,126.564347777677,33.2458175072906,다나128731,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000447,장소,문화시설,16589413,롯데시네마,안성점,,100209,롯데시네마,4155025021103060000,경기도,안성시,공도읍,양기리,306,4155025021,4155025000,415502012006,서동대로,4478,127.199523749152,37.00779419944,다바732899,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000448,장소,문화시설,16836107,CGV,광주상무점,,100208,CGV,2914012000112180001,광주광역시,서구,치평동,,1218-1,2914012000,2914074500,291403160029,시청로,67,126.850971654257,35.1545598789029,다라408845,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000449,장소,문화시설,17864624,메가박스,일산벨라시타점,,100212,메가박스,4128510600112370000,경기도,고양시 일산동구,백석동,,1237,4128510600,4128555100,412853193003,강송로,33,126.792389094681,37.6423859020394,다사375605,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
